RM_ID,Product,Sale_Date,Amount
RM0003,Saving Account,2020-06-30,49348.0
RM0081,Credit Card,2025-04-30,228368.0
RM0161,ULIP,2025-10-27,88515.0
RM0007,Life Insurance,,260788.0
RM0125,Health Insurance,2021-04-05,182569.0
RM0057,Loan Against Property,2020-04-12,43622.0
RM0193,Gold Investment,09/10/2024,69598.0
RM0247,Health Insurance,2021-09-04,15851.0
RM0175,Life Insurance,18/11/2019,39093.0
RM0126,Saving Account,12/04/2024,92778.0
,ULIP,12-20-2024,45193.0
RM0004, Loan Against Property ,,70650.0
RM0159,Recurring Deposit,16/07/2024,78472.0
RM0005,Gold Investment,,24615.0
RM0220,loan against property,2023-05-27,114252.0
RM0168,Loan Against Property,2023-11-19,40792.0
RM0050,Fixed Deposit,2022-01-12,21797.0
RM0026,Current Account,01-16-2019,110278.0
RM0157,Recurring Deposit,2022-05-02,37048.0
RM0008,Gold Investment,10-04-2020,79377.0
RM0224,Recurring Deposit,2023-03-10,49707.0
RM0249,Health Insurance,2019-03-04,34052.0
RM0031,RECURRING DEPOSIT,2023-05-27,93004.0
RM0001,ULIP,2019-09-28,53910.0
RM0211,Recurring Deposit,2021-11-18,34760.0
,Current Account,2025-09-07,15804.0
RM0097,ULIP,01-19-2021,122902.0
RM0176,Gold Investment,2019-11-10,11805.0
,Recurring Deposit,2025-03-09,109457.0
RM0233,current account,2023-10-22,32311.0
RM0224,Mutual Funds,2025-03-05,60990.0
RM0045,Fixed Deposit,2024-09-21,0.0
RM0015,Life Insurance,2020-06-26,137680.0
RM0156,Loan Against Property,2022-01-15,18226.0
,Current Account,05-14-2023,51845.0
RM0244,Fixed Deposit,2022-09-11,82287.0
RM0057,Recurring Deposit,2025-01-01,80854.0
RM0188,Fixed Deposit,2026-06-14,47288.0
RM0135,Credit Card,2020-10-27,59006.0
RM0224,Health Insurance,,80843.0
RM0106,Gold Investment,2021-04-12,101951.0
RM0032,Credit Card,2020-02-08,81734.0
RM0070,Mutual Funds,,31848.0
RM0137,Health Insurance,2024-09-19,296093.0
RM0023,Current Account,2024-05-02,38502.0
RM0104,Current Account,07/08/2025,11238.0
RM0207,Saving Account,10-01-2019,32519.0
RM0194,Mutual Funds,2023-05-01,16835.0
RM0102,Loan Against Property,03-21-2019,16473.0
RM0237,Current Account,2022-05-22,26531.0
RM0213,Current Account,2021-07-28,12742.0
RM0244,Gold Investment,2022-10-18,68319.0
RM0139,ULIP,2021-01-13,13843.0
RM0096,ULIP,26/01/2022,21363.0
,Current Account,2024-07-21,14875.0
RM0009,Term Insurance,03-27-2022,13262.0
RM0166,Credit Card,2025-10-26,25581.0
RM0218,ULIP,2022-04-14,52419.0
RM0035,Mutual Funds,2021-04-12,177173.0
RM0025, Fixed Deposit ,2025-04-26,114195.0
RM0168,Saving Account,2023-03-15,114347.0
RM0092,Mutual Funds,,19683.0
RM0188,Saving Account,13/10/2021,25387.0
,Current Account,2023-09-23,13973.0
RM0023,Health Insurance,2021-01-21,85359.0
RM0014,Credit Card,02/07/2019,13618.0
RM0048,Term Insurance,09/12/2025,50674.0
RM0227,Credit Card,2023-02-04,24242.0
RM0214,Fixed Deposit,2022-03-13,23949.0
RM0203,Recurring Deposit,05-06-2024,0.0
RM0066,Loan Against Property,2021-12-15,244021.0
RM0108,Mutual Funds,04-07-2024,80689.0
RM0049,Term Insurance,2021-04-10,100681.0
RM0164,Gold Investment,06-30-2023,52429.0
RM0250,Current Account,2023-10-01,112402.0
RM0242,Current Account,2019-11-07,61851.0
RM0109,Term Insurance,2025-04-23,156099.0
RM0003,ULIP,14/03/2024,26518.0
RM0208,fixed deposit,2022-03-07,55232.0
RM0157,Health Insurance,01-30-2019,68580.0
RM0095,Fixed Deposit,11-20-2024,34956.0
RM0175,Mutual Funds,2025-10-11,115891.0
RM0133,Health Insurance,2019-05-28,205111.0
RM0058,Saving Account,09/03/2019,44038.0
RM0192,Term Insurance,2025-04-14,34767.0
,Life Insurance,2020-07-23,
RM0051,Loan Against Property,2019-11-22,41927.0
RM0018,Loan Against Property,2024-09-17,105776.0
RM0142,Current Account,2024-04-05,61847.0
RM0216,HEALTH INSURANCE,2025-03-28,12290.0
RM0090,Recurring Deposit,09/07/2024,49062.0
,Gold Investment,2026-01-06,10872.0
RM0246,Recurring Deposit,2025-04-11,85374.0
RM0237,Credit Card,08/10/2021,29898.0
RM0040,Recurring Deposit,2019-03-13,41933.0
RM0103,Gold Investment,04/06/2023,90142.0
RM0234,Mutual Funds,2021-06-27,12378.0
RM0170,Term Insurance,2023-01-16,18630.0
RM0092,ULIP,2023-08-02,35371.0
RM0153,Saving Account,2020-03-21,23063.0
RM0242,Saving Account,2020-07-27,30617.0
RM0120,Current Account,2021-07-09,325301.0
RM0171,Term Insurance,11-27-2019,97267.0
RM0205,Loan Against Property,12-10-2024,117665.0
RM0002,Fixed Deposit,2022-02-16,148274.0
RM0233,Recurring Deposit,2022-12-20,30846.0
RM0041,Recurring Deposit,2020-11-27,27625.0
RM0177,health insurance,23/12/2022,23332.0
,Credit Card,2025-11-07,98632.0
RM0092,Mutual Funds,2022-07-03,66901.0
RM0177,Gold Investment,2022-07-12,0.0
RM0063,Loan Against Property,2021-09-13,23470.0
RM0003,Credit Card,2023-09-17,33659.0
RM0145,Current Account,2023-09-10,45333.0
RM0151,ULIP,2020-12-10,47553.0
RM0044,Mutual Funds,2021-02-20,119788.0
RM0115,Recurring Deposit,2019-10-29,33947.0
RM0220,Life Insurance,2025-08-12,129583.0
,ULIP,07-12-2022,39113.0
RM0245,Current Account,01/11/2024,78594.0
RM0239,Health Insurance,27/07/2024,143144.0
RM0121,Loan Against Property,2020-10-03,129068.0
RM0016,Saving Account,09-12-2023,12931.0
RM0006,Life Insurance,2025-12-18,21514.0
RM0006,Credit Card,27/04/2022,42399.0
RM0180,Current Account,2023-06-24,38242.0
RM0187,Fixed Deposit,2020-10-19,61206.0
RM0201,Saving Account,2021-07-10,154757.0
RM0250,Credit Card,,15961.0
RM0173,Fixed Deposit,09-11-2020,40061.0
RM0187,Current Account,12-27-2024,20685.0
RM0195,Saving Account,2024-11-25,122266.0
RM0190,Recurring Deposit,2022-06-29,177024.0
RM0207,Saving Account,2024-11-24,42571.0
RM0069,Gold Investment,2023-06-29,15491.0
RM0055,Recurring Deposit,01-27-2022,86924.0
RM0044,Saving Account,2019-07-11,69724.0
RM0157,ULIP,2024-08-21,31899.0
RM0068,Fixed Deposit,2025-03-12,119198.0
RM0102,Health Insurance,2026-04-12,196136.0
RM0115,Recurring Deposit,2023-05-26,50805.0
,Saving Account,08/11/2021,51704.0
RM0038,Saving Account,2026-06-24,27656.0
RM0003,Current Account,09-01-2025,53914.0
RM0247,Fixed Deposit,2024-10-16,38958.0
RM0158,Recurring Deposit,2019-07-03,88888888.0
RM0204,Loan Against Property,,27990.0
RM0180,Life Insurance,2026-07-24,13477.0
,Fixed Deposit,2023-02-25,24564.0
RM0179,Mutual Funds,2021-03-27,21023.0
RM0014,Current Account,01-11-2025,49048.0
RM0079,Saving Account,2021-11-15,56023.0
RM0113,Term Insurance,29/09/2021,56897.0
RM0198,current account,2023-02-05,34565.0
RM0181,Current Account,2026-07-26,37342.0
RM0022,Loan Against Property,17/07/2025,99860.0
,Saving Account,2024-06-11,42335.0
RM0135,Health Insurance,05/01/2026,230206.0
RM0095,Current Account,2024-05-20,38956.0
RM0141,LOAN AGAINST PROPERTY,2022-01-26,62431.0
,ULIP,05-15-2020,12583.0
RM0234,Mutual Funds,11-17-2023,62970.0
RM0013,Term Insurance,19/12/2024,105333.0
RM0186,Life Insurance,2020-04-18,152761.0
RM0023,Recurring Deposit,01/10/2024,306108.0
RM0052,term insurance,2022-04-08,26576.0
RM0003,Loan Against Property,10-27-2023,52826.0
RM0241,Life Insurance,2019-05-24,39957.0
RM0063,Saving Account,2020-01-08,51484.0
RM0042,loan against property,2020-02-10,18566.0
RM0022,Mutual Funds,2025-08-16,106949.0
RM0095,Life Insurance,2023-12-11,130158.0
RM0220,Current Account,2024-04-19,39861.0
RM0020,Credit Card,2019-01-21,26455.0
RM0202,Saving Account,2019-10-05,17589.0
RM0089,Fixed Deposit,2025-12-10,67563.0
RM0124,Saving Account,2023-08-31,28715.0
RM0201,Term Insurance,2020-03-31,130141.0
RM0047,Gold Investment,,65586.0
RM0220,Fixed Deposit,2021-06-18,61878.0
RM0106,Mutual Funds,,50981.0
RM0177,Credit Card,2023-04-16,12342.0
RM0148,Fixed Deposit,26/10/2020,144355.0
RM0198,Credit Card,2024-07-11,59434.0
RM0118,Fixed Deposit,2023-08-30,266319.0
RM0199,Saving Account,2025-03-25,48539.0
RM0120,Life Insurance,2021-11-04,71912.0
RM0204,Loan Against Property,2026-07-08,12892.0
RM0093,Loan Against Property,09-06-2025,59947.0
RM0104,Term Insurance,2025-10-03,82333.0
RM0038,Saving Account,2026-02-09,85369.0
RM0146,Gold Investment,2025-10-07,83508.0
RM0039,Health Insurance,02-02-2022,22827.0
RM0200,Gold Investment,05-06-2024,195247.0
RM0140,Life Insurance,2022-08-24,276771.0
RM0049,Fixed Deposit,08-29-2024,13930.0
RM0084,Fixed Deposit,2024-10-10,147793.0
RM0223,ULIP,2022-04-04,27085.0
RM0019,Life Insurance,,68443.0
RM0123,Life Insurance,2023-12-18,30632.0
RM0086,Life Insurance,2024-04-03,181718.0
RM0211,Life Insurance,2019-12-30,15351.0
RM0051,Term Insurance,2023-04-20,44432.0
RM0060,Fixed Deposit,2025-09-02,37934.0
RM0224,Term Insurance,2022-09-11,29727.0
RM0126,Credit Card,03-02-2022,61857.0
RM0084,Recurring Deposit,17/12/2023,17023.0
RM0043,Fixed Deposit,11/08/2024,73055.0
RM0009,Saving Account,10/12/2022,207103.0
RM0081,Recurring Deposit,2025-02-03,91624.0
RM0122,Recurring Deposit,2021-11-03,108311.0
RM0096,Health Insurance,2025-01-16,32285.0
RM0057,Loan Against Property,26/11/2020,0.0
RM0100,Life Insurance,09/02/2025,29643.0
RM0061,Health Insurance,10-27-2021,46391.0
RM0022,Recurring Deposit,02-22-2022,12340.0
RM0160,Term Insurance,2022-07-03,155347.0
RM0181,Gold Investment,2024-07-29,17761.0
RM0128,Fixed Deposit,25/05/2025,126658.0
RM0073,Saving Account,,14364.0
RM0067,Mutual Funds,2024-08-25,96474.0
RM0062,Saving Account,2019-09-05,18241.0
RM0090,Saving Account,19/02/2026,11943.0
RM0085, Loan Against Property ,2020-07-01,73557.0
RM0139,CREDIT CARD,2025-02-05,26443.0
RM0071,Recurring Deposit,2024-04-15,72674.0
RM0071,Fixed Deposit,2023-04-29,50493.0
RM0020,Life Insurance,,15759.0
RM0049,ULIP,2025-05-16,144508.0
RM0125,Recurring Deposit,11/05/2026,40102.0
RM0131,Mutual Funds,14/01/2021,76297.0
RM0147,Fixed Deposit,2023-11-24,44759.0
,Fixed Deposit,2024-06-02,56362.0
,Fixed Deposit,11/06/2020,28032.0
RM0129,Credit Card,04-27-2025,21179.0
RM0206,Life Insurance,2022-08-26,49106.0
RM0013,Gold Investment,2026-02-11,39010.0
RM0092,Term Insurance,2020-05-28,34724.0
RM0239,Term Insurance,2024-07-25,65823.0
RM0152,ULIP,08-19-2024,68640.0
RM0110,Health Insurance,2019-10-28,12350.0
RM0157,Fixed Deposit,06/03/2020,30680.0
RM0247,Mutual Funds,,36531.0
RM0065,Term Insurance,11/06/2024,15095.0
RM0068,Life Insurance,2021-06-04,23452.0
RM0183, Fixed Deposit ,2020-06-15,12651.0
RM0053,Life Insurance,07/11/2020,289194.0
RM0154,Recurring Deposit,2025-05-28,76695.0
RM0224,Health Insurance,2025-10-16,14575.0
RM0063,ULIP,2026-02-10,11022.0
RM0027,Loan Against Property,2019-04-17,73521.0
RM0182,Current Account,08-28-2020,38918.0
RM0200,ULIP,17/09/2023,87275.0
RM0242,Mutual Funds,10-17-2019,138507.0
,Term Insurance,2023-03-02,55727.0
RM0119,Fixed Deposit,11-07-2022,20357.0
RM0200,Fixed Deposit,06-05-2026,86207.0
RM0217,Credit Card,2019-02-23,165964.0
RM0194,Credit Card,30/03/2019,53402.0
RM0031,Recurring Deposit,02-28-2024,67284.0
RM0002,saving account,2025-02-26,30584.0
RM0109, Recurring Deposit ,2023-05-07,34025.0
RM0107,Loan Against Property,2020-01-11,76336.0
RM0212,Health Insurance,2024-05-29,141395.0
RM0138,Term Insurance,2022-12-28,59576.0
RM0079,Credit Card,,87996.0
RM0247,Mutual Funds,2022-04-30,19415.0
RM0067,Mutual Funds,2021-01-23,21910.0
RM0075,ULIP,21/11/2023,47968.0
RM0213,Health Insurance,2022-04-17,19712.0
RM0126,Gold Investment,2019-03-18,60392.0
,Current Account,2021-01-18,27241.0
RM0207,Saving Account,21/02/2024,88398.0
RM0072,Mutual Funds,14/03/2022,92541.0
RM0094,Mutual Funds,2019-04-17,41161.0
RM0031,Health Insurance,2025-06-20,19972.0
RM0135,Credit Card,2022-02-08,62032.0
RM0177,Loan Against Property,2026-07-17,256593.0
RM0245,Life Insurance,2025-09-14,58721.0
RM0064,Recurring Deposit,2026-03-16,11821.0
RM0028,Credit Card,2026-06-12,10872.0
RM0150,Health Insurance,2025-08-11,29309.0
RM0149,Credit Card,29/06/2021,20894.0
RM0129,Recurring Deposit,2023-08-19,93846.0
RM0232,Credit Card,2024-02-04,103153.0
RM0057,ULIP,2024-07-17,24962.0
RM0098,FIXED DEPOSIT,2023-12-22,29699.0
RM0234,ULIP,2023-05-21,23475.0
RM0098,Saving Account,2024-02-16,129506.0
RM0008,Current Account,2024-03-28,44922.0
RM0203,Recurring Deposit,2020-11-13,63375.0
RM0096,Fixed Deposit,2020-05-17,36848.0
RM0244,Credit Card,2022-05-14,59849.0
RM0069,Loan Against Property,15/02/2024,34376.0
RM0049,ULIP,09-24-2020,30751.0
RM0095,Current Account,2026-02-06,60321.0
RM0001,Saving Account,2025-11-05,54709.0
RM0161,Current Account,07-21-2020,27373.0
RM0219,Current Account,01-02-2025,18087.0
RM0109,Gold Investment,,32988.0
RM0059,Loan Against Property,2019-09-19,36824.0
RM0118,Fixed Deposit,2024-08-18,59535.0
RM0207,Term Insurance,20/05/2020,132978.0
RM0235,Fixed Deposit,2021-03-15,11842.0
,Loan Against Property,02-13-2020,23963.0
RM0198,Fixed Deposit,2023-12-26,20765.0
RM0062,Fixed Deposit,2023-10-29,44887.0
RM0183,Current Account,2019-11-17,38079.0
RM0051,Health Insurance,01-14-2019,75288.0
RM0104,ULIP,2024-06-08,0.0
RM0082,Recurring Deposit,2019-03-14,23881.0
RM0114,Gold Investment,2019-02-12,-1000.0
RM0016,Loan Against Property,09-14-2020,55131.0
RM0190,Mutual Funds,2024-10-07,117646.0
RM0115,Fixed Deposit,2022-04-08,130775.0
RM0108,Life Insurance,06-07-2026,169447.0
RM0084,Health Insurance,2023-01-24,84197.0
RM0236,Gold Investment,01-13-2023,128216.0
RM0248,Term Insurance,2023-12-29,23363.0
RM0206,Loan Against Property,04-27-2019,21006.0
RM0249,Current Account,2022-02-16,10325.0
RM0119,ULIP,2019-09-15,71352.0
RM0128,Life Insurance,2025-01-14,148603.0
RM0138,Life Insurance,2023-11-29,20347.0
RM0211,ULIP,2025-07-08,60659.0
RM0236,Loan Against Property,10-30-2022,78611.0
RM0030,Loan Against Property,01-03-2022,141287.0
RM0197,Mutual Funds,2024-12-03,62044.0
RM0024,Life Insurance,10-10-2022,185819.0
RM0198,Saving Account,2024-01-14,31131.0
RM0064,ULIP,2019-09-18,31533.0
RM0011,Health Insurance,2023-02-24,49154.0
RM0189,Current Account,2019-05-10,34185.0
RM0149,Current Account,2024-12-29,10071.0
RM0205,Saving Account,2023-06-03,75795.0
RM0201,Fixed Deposit,2021-08-02,79659.0
,health insurance,2024-06-10,78713.0
RM0039,MUTUAL FUNDS,2023-06-28,31157.0
RM0040,Term Insurance,2025-03-17,46937.0
RM0124,ULIP,2025-12-11,32312.0
RM0222,Recurring Deposit,2025-06-26,10808.0
RM0033, Health Insurance ,20/06/2020,51328.0
RM0182,Saving Account,2021-10-23,16605.0
RM0126,Gold Investment,26/03/2022,14171.0
RM0150,Term Insurance,22/07/2026,0.0
RM0111,Current Account,2023-12-07,80426.0
RM0183,Health Insurance,2021-08-05,10477.0
RM0050,Saving Account,26/06/2020,169719.0
RM0209,Recurring Deposit,2021-02-24,46206.0
RM0169,Current Account,03-30-2020,213775.0
RM0094,Life Insurance,01/06/2019,12987.0
RM0076,Term Insurance,2023-01-23,53796.0
RM0182,Current Account,05/05/2020,31487.0
RM0071,Fixed Deposit,2023-04-30,102729.0
RM0032,Saving Account,28/04/2023,32409.0
RM0012,Term Insurance,06/04/2019,25088.0
RM0015,Fixed Deposit,11-18-2022,88888888.0
RM0121,ULIP,2019-03-05,107439.0
RM0201,Fixed Deposit,2020-06-04,33472.0
RM0249,Health Insurance,06/07/2020,10848.0
RM0138,Fixed Deposit,2024-08-04,34738.0
RM0119,Life Insurance,2019-11-29,63141.0
RM0183,Recurring Deposit,2023-02-20,24675.0
RM0244,Life Insurance,08/03/2022,38280.0
RM0062,Fixed Deposit,2019-06-26,12919.0
RM0017,Loan Against Property,2025-10-21,54347.0
RM0056,Health Insurance,02-14-2019,80589.0
RM0109,ULIP,2023-04-17,36663.0
RM0039,ULIP,2019-11-03,37256.0
RM0216,Saving Account,2024-09-10,14621.0
RM0218,Term Insurance,2021-06-20,21278.0
RM0078,Health Insurance,2023-12-25,18401.0
RM0099,Life Insurance,2024-10-14,42858.0
RM0158,Loan Against Property,08/08/2026,47671.0
RM0177,Loan Against Property,2019-03-18,158737.0
RM0146,Fixed Deposit,,13802.0
RM0086,Health Insurance,2023-03-22,55798.0
,ULIP,24/09/2024,47380.0
RM0100,Gold Investment,2026-02-20,46307.0
RM0056,Term Insurance,11-10-2023,113241.0
RM0236,Saving Account,16/12/2023,21504.0
RM0186,Health Insurance,2024-09-16,12081.0
RM0140,Fixed Deposit,09/02/2024,65778.0
RM0181,Loan Against Property,2021-06-17,31168.0
RM0054,Term Insurance,2025-01-08,10887.0
,Current Account,,24475.0
RM0219,Current Account,11/02/2019,
RM0020,Recurring Deposit,2024-09-04,28504.0
RM0096,Mutual Funds,2026-07-26,57964.0
RM0052,Saving Account,2026-06-22,19472.0
RM0225,Recurring Deposit,2024-01-06,36641.0
RM0217,Recurring Deposit,2026-04-13,42934.0
RM0079,Gold Investment,,-1000.0
RM0165,loan against property,27/06/2019,40738.0
RM0020,Mutual Funds,2019-10-03,192369.0
RM0245,Health Insurance,01-04-2026,12328.0
RM0146,Current Account,08-24-2019,160764.0
RM0074,Health Insurance,25/01/2025,53606.0
RM0104,Health Insurance,2025-08-29,89415.0
RM0072, Fixed Deposit ,2020-09-16,38140.0
RM0242,Life Insurance,,40241.0
RM0134,Mutual Funds,2020-05-21,115733.0
RM0174,Fixed Deposit,2023-12-29,123136.0
RM0057,Saving Account,2026-08-08,23635.0
RM0185,Saving Account,2022-02-02,0.0
RM0117,ULIP,2021-05-31,21109.0
,Credit Card,12-04-2024,44282.0
RM0078,Gold Investment,2021-08-01,125267.0
RM0002,Mutual Funds,2019-03-07,29456.0
RM0238,Mutual Funds,2024-07-02,62779.0
,Saving Account,2023-08-08,71576.0
RM0171,ULIP,2019-07-04,85406.0
RM0233,ULIP,,51496.0
RM0155,recurring deposit,05/05/2020,35746.0
RM0213,Term Insurance,01/05/2024,180586.0
RM0104,Gold Investment,2020-08-17,57251.0
RM0003,Life Insurance,2019-12-03,75201.0
RM0133,Saving Account,08-15-2023,31154.0
RM0164,Gold Investment,2020-12-04,65425.0
RM0121,Recurring Deposit,2021-02-06,24906.0
RM0154,Mutual Funds,2020-05-23,24058.0
,Loan Against Property,02-23-2023,72714.0
RM0131,Recurring Deposit,11/10/2024,
,Gold Investment,2023-05-01,46843.0
RM0209,Health Insurance,28/01/2020,67486.0
RM0245,Credit Card,2021-11-10,25697.0
RM0107,Credit Card,2024-06-28,55655.0
,Mutual Funds,07/12/2023,39343.0
RM0138,Recurring Deposit,2023-09-04,55436.0
RM0158,Saving Account,2024-01-20,27186.0
RM0209,Life Insurance,2019-11-20,72842.0
RM0072,ULIP,07/02/2019,91976.0
RM0241,ULIP,2022-09-05,25049.0
RM0027,Mutual Funds,2022-02-22,27878.0
RM0219,Loan Against Property,02-14-2022,64110.0
RM0126,Gold Investment,2022-11-30,69468.0
RM0034,Health Insurance,10-21-2024,70886.0
RM0247,ULIP,2023-09-23,67395.0
RM0223,Health Insurance,2020-03-31,34945.0
RM0029,Fixed Deposit,2020-02-28,35114.0
RM0139,Gold Investment,2019-06-06,24706.0
RM0207,Health Insurance,2023-06-30,18529.0
RM0013,Credit Card,2019-10-10,68976.0
RM0089,Loan Against Property,2019-04-12,14891.0
RM0239,Fixed Deposit,2020-04-22,148863.0
RM0091,Mutual Funds,,97632.0
RM0241,Saving Account,11-14-2020,107422.0
RM0082,Current Account,2024-07-08,128580.0
,Life Insurance,2025-01-26,36263.0
RM0069,Term Insurance,2025-06-14,103768.0
RM0143,Gold Investment,01/12/2019,18602.0
RM0171,Current Account,2026-05-08,11093.0
RM0183,Term Insurance,2026-01-12,86830.0
RM0031,Health Insurance,2025-08-29,-1000.0
RM0207,Term Insurance,2020-02-07,88888888.0
RM0155,Loan Against Property,04-23-2026,13887.0
RM0049,Recurring Deposit,2019-12-16,233377.0
RM0051,Saving Account,2024-09-04,66165.0
RM0007,Saving Account,19/05/2021,80009.0
RM0199,Mutual Funds,2021-07-03,24105.0
RM0198,health insurance,04-09-2025,66022.0
RM0130,Saving Account,2024-07-20,12209.0
RM0244,ULIP,2023-02-21,100954.0
,Gold Investment,2024-03-05,19293.0
RM0041,Recurring Deposit,2024-03-08,69760.0
,Loan Against Property,2026-05-19,22711.0
RM0039,Health Insurance,2025-02-10,13545.0
RM0176,Fixed Deposit,2022-07-17,42840.0
RM0051, Recurring Deposit ,2019-03-03,19273.0
,Recurring Deposit,2022-10-17,75363.0
RM0138,ULIP,2021-06-09,23561.0
RM0161,Current Account,06/12/2021,30963.0
RM0087,Loan Against Property,2026-03-21,51901.0
,Recurring Deposit,2023-04-11,26771.0
RM0172,Current Account,2022-03-28,33739.0
RM0044,ulip,2021-10-07,94538.0
RM0211,Recurring Deposit,2026-05-26,19874.0
RM0052,Loan Against Property,2023-10-04,14288.0
RM0055,term insurance,17/01/2026,29901.0
RM0138,ULIP,2025-06-28,37615.0
RM0138,Loan Against Property,2020-03-18,49116.0
,current account,2026-03-22,33294.0
RM0220,Recurring Deposit,2021-05-01,88011.0
RM0167,Health Insurance,2026-03-07,12005.0
RM0079,LIFE INSURANCE,15/07/2019,38261.0
RM0181,Term Insurance,09/09/2022,34084.0
RM0165,GOLD INVESTMENT,2024-04-28,62146.0
RM0063,Health Insurance,2024-02-24,179477.0
RM0105,Current Account,04/10/2020,45705.0
RM0061,Gold Investment,01/12/2023,226668.0
,Current Account,,27994.0
RM0048,Credit Card,2022-01-30,88888888.0
RM0075,Current Account,2023-10-02,11567.0
RM0190,Life Insurance,13/02/2019,19055.0
RM0015,ULIP,2023-08-23,35136.0
RM0241,ULIP,2021-07-22,29014.0
RM0128,Life Insurance,2026-05-25,15104.0
RM0116,Mutual Funds,2022-12-07,38339.0
RM0060,Fixed Deposit,2025-10-29,30633.0
RM0094,MUTUAL FUNDS,2024-01-26,16540.0
,Health Insurance,24/03/2019,27557.0
RM0047,Term Insurance,09-11-2022,118769.0
