Complaint_ID,Customer_ID,RM_ID,Complaint_Type,Resolution_Time,Resolution_Status
CMP000147,CUST001828,RM0162,Staff Behavior,3.0,Quick
CMP000148,CUST001885,RM0230,Service Issue,2.0,Quick
CMP000149,CUST001924,RM0103,Delay,9.0,Normal
CMP000150,CUST000987,RM0042,Product Issue,6.0,Quick
CMP000151,CUST002337,RM0085,Credit Card Issue,9.0,Normal
CMP000152,CUST001898,RM0006,Credit Card Issue,7.0,Quick
CMP000153,CUST001939,RM0018,Staff Behavior,2.0,Quick
CMP000154,CUST000666,RM0203,Delay,3.0,Quick
CMP000155,CUST001190,RM0160,Loan Disbursement,5.0,Quick
CMP000156,CUST001000,RM0155,Delay,3.0,Quick
CMP000157,CUST001545,RM0031,Product Issue,3.0,Quick
CMP000158,CUST000277,RM0052,Credit Card Issue,12.0,Normal
CMP000159,CUST001134,RM0164,Account Access,8.0,Normal
CMP000160,CUST002396,RM0078,Billing Error,4.0,Quick
CMP000161,CUST001251,RM0104,Staff Behavior,9.0,Normal
CMP000162,CUST000459,RM0161,Billing Error,6.0,Quick
CMP000163,CUST001163,RM0142,Credit Card Issue,2.0,Quick
CMP000164,CUST002157,RM0085,Loan Disbursement,4.0,Quick
CMP000165,CUST001202,RM0092,Service Issue,3.0,Quick
CMP000166,CUST002418,RM0042,Delay,3.0,Quick
CMP000167,CUST000561,RM0066,Account Access,5.0,Quick
CMP000168,CUST001880,RM0073,Credit Card Issue,3.0,Quick
CMP000169,CUST000818,RM0233,Staff Behavior,16.0,Normal
CMP000170,CUST001630,RM0172,Account Access,5.0,Quick
CMP000171,CUST000855,RM0178,Account Access,11.0,Normal
CMP000172,CUST000432,RM0073,Staff Behavior,3.0,Quick
CMP000173,CUST000129,RM0049,Insurance Claim,2.0,Quick
CMP000174,CUST000451,RM0142,Service Issue,12.0,Normal
CMP000175,CUST000571,RM0146,Billing Error,5.0,Quick
CMP000176,CUST002026,RM0227,Delay,13.0,Normal
CMP000177,CUST001187,RM0134,Technical Issue,2.0,Quick
CMP000178,CUST001975,RM0041,Service Issue,14.0,Normal
CMP000179,CUST001725,RM0198,Account Access,4.0,Quick
CMP000180,CUST001132,RM0167,Loan Disbursement,2.0,Quick
CMP000181,CUST000517,RM0199,Service Issue,7.0,Quick
CMP000182,CUST000138,RM0206,Product Issue,9.0,Normal
CMP000183,CUST000930,RM0127,Insurance Claim,2.0,Quick
CMP000184,CUST002205,RM0083,Staff Behavior,23.0,Normal
CMP000185,CUST000703,RM0081,Insurance Claim,7.0,Quick
CMP000186,CUST001557,RM0162,Billing Error,3.0,Quick
CMP000187,CUST000664,RM0170,Staff Behavior,2.0,Quick
CMP000188,CUST000005,RM0209,Product Issue,4.0,Quick
CMP000189,CUST000672,RM0245,Insurance Claim,3.0,Quick
CMP000190,CUST000991,RM0087,Billing Error,5.0,Quick
CMP000191,CUST000530,RM0055,Account Access,9.0,Normal
CMP000192,CUST002204,RM0029,Service Issue,7.0,Quick
CMP000193,CUST000053,RM0136,Loan Disbursement,4.0,Quick
CMP000194,CUST002113,RM0042,Billing Error,2.0,Quick
CMP000195,CUST000980,RM0160,Billing Error,17.0,Normal
CMP000196,CUST001172,RM0024,Insurance Claim,3.0,Quick
CMP000197,CUST001730,RM0068,Account Access,3.0,Quick
CMP000198,CUST001201,RM0210,Account Access,7.0,Quick
CMP000199,CUST000392,RM0096,Insurance Claim,9.0,Normal
CMP000200,CUST001939,RM0164,Credit Card Issue,22.0,Normal
CMP000201,CUST002096,RM0083,Insurance Claim,19.0,Normal
CMP000202,CUST002323,RM0038,Loan Disbursement,14.0,Normal
CMP000203,CUST000767,RM0020,Staff Behavior,0.0,Quick
CMP000204,CUST000448,RM0015,Credit Card Issue,4.0,Quick
CMP000205,CUST000431,RM0106,Technical Issue,2.0,Quick
CMP000206,CUST001510,RM0023,Delay,6.0,Quick
CMP000207,CUST000524,RM0064,Billing Error,2.0,Quick
CMP000208,CUST001427,RM0183,Staff Behavior,3.0,Quick
CMP000209,CUST001267,RM0152,Service Issue,2.0,Quick
CMP000210,CUST000513,RM0191,Account Access,2.0,Quick
CMP000211,CUST001419,RM0009,Account Access,5.0,Quick
CMP000212,CUST001700,RM0200,Staff Behavior,4.0,Quick
CMP000213,CUST000747,RM0073,Credit Card Issue,4.0,Quick
CMP000214,CUST002007,RM0047,Billing Error,10.0,Normal
CMP000215,CUST001328,RM0178,Product Issue,7.0,Quick
CMP000216,CUST000934,RM0178,Billing Error,15.0,Normal
CMP000217,CUST000829,RM0167,Staff Behavior,4.0,Quick
CMP000218,CUST000810,RM0249,Service Issue,3.0,Quick
CMP000219,CUST001453,RM0224,Insurance Claim,2.0,Quick
CMP000220,CUST000551,RM0069,Insurance Claim,7.0,Quick
CMP000221,CUST001395,RM0044,Account Access,11.0,Normal
CMP000222,CUST000018,RM0044,Staff Behavior,3.0,Quick
CMP000223,CUST001903,RM0241,Insurance Claim,12.0,Normal
CMP000224,CUST001408,RM0172,Insurance Claim,5.0,Quick
CMP000225,CUST000537,RM0102,Insurance Claim,2.0,Quick
CMP000226,CUST001587,RM0240,Delay,7.0,Quick
CMP000227,CUST000270,RM0048,Loan Disbursement,5.0,Quick
CMP000228,CUST000721,RM0047,Insurance Claim,2.0,Quick
CMP000229,CUST001766,RM0121,Loan Disbursement,4.0,Quick
CMP000230,CUST001839,RM0074,Billing Error,9.0,Normal
CMP000231,CUST000974,RM0087,Billing Error,6.0,Quick
CMP000232,CUST002326,RM0210,Billing Error,3.0,Quick
CMP000233,CUST001892,RM0007,Product Issue,15.0,Normal
CMP000234,CUST000836,RM0198,Service Issue,3.0,Quick
CMP000235,CUST002396,RM0004,Technical Issue,3.0,Quick
CMP000236,CUST002352,RM0050,Insurance Claim,4.0,Quick
CMP000237,CUST000682,RM0163,Insurance Claim,13.0,Normal
CMP000238,CUST000898,RM0045,Technical Issue,5.0,Quick
CMP000239,CUST002344,RM0030,Billing Error,5.0,Quick
CMP000240,CUST001469,RM0002,Billing Error,7.0,Quick
CMP000241,CUST001374,RM0205,Delay,20.0,Normal
CMP000242,CUST001896,RM0135,Delay,9.0,Normal
CMP000243,CUST001212,RM0068,Delay,2.0,Quick
CMP000244,CUST001444,RM0202,Technical Issue,9.0,Normal
CMP000245,CUST000341,RM0242,Credit Card Issue,8.0,Normal
CMP000246,CUST002193,RM0100,Loan Disbursement,3.0,Quick
CMP000247,CUST001245,RM0074,Billing Error,3.0,Quick
CMP000248,CUST001306,RM0169,Technical Issue,8.0,Normal
CMP000249,CUST000522,RM0190,Service Issue,3.0,Quick
CMP000250,CUST000535,RM0116,Credit Card Issue,6.0,Quick
CMP000251,CUST001869,RM0158,Technical Issue,3.0,Quick
CMP000252,CUST000563,RM0054,Technical Issue,8.0,Normal
CMP000253,CUST002296,RM0023,Product Issue,12.0,Normal
CMP000254,CUST002001,RM0070,Product Issue,2.0,Quick
CMP000255,CUST002307,RM0247,Technical Issue,5.0,Quick
CMP000256,CUST000597,RM0175,Credit Card Issue,4.0,Quick
CMP000257,CUST000358,RM0192,Staff Behavior,6.0,Quick
CMP000258,CUST000143,RM0118,Technical Issue,7.0,Quick
CMP000259,CUST000502,RM0030,Staff Behavior,29.0,Normal
CMP000260,CUST002062,RM0116,Account Access,7.0,Quick
CMP000261,CUST000388,RM0208,Product Issue,6.0,Quick
CMP000262,CUST001937,RM0220,Loan Disbursement,24.0,Normal
CMP000263,CUST001400,RM0186,Credit Card Issue,2.0,Quick
CMP000264,CUST000650,RM0063,Insurance Claim,2.0,Quick
CMP000265,CUST002089,RM0101,Delay,6.0,Quick
CMP000266,CUST001359,RM0155,Credit Card Issue,4.0,Quick
CMP000267,CUST001975,RM0061,Staff Behavior,2.0,Quick
CMP000268,CUST001527,RM0003,Insurance Claim,3.0,Quick
CMP000269,CUST002157,RM0071,Credit Card Issue,7.0,Quick
CMP000270,CUST000809,RM0201,Delay,12.0,Normal
CMP000271,CUST001898,RM0204,Staff Behavior,2.0,Quick
CMP000272,CUST000425,RM0097,Staff Behavior,5.0,Quick
CMP000273,CUST000544,RM0061,Staff Behavior,3.0,Quick
CMP000274,CUST001300,RM0197,Staff Behavior,7.0,Quick
CMP000275,CUST000944,RM0080,Technical Issue,5.0,Quick
CMP000276,CUST000139,RM0147,Delay,15.0,Normal
CMP000277,CUST000273,RM0173,Service Issue,2.0,Quick
CMP000278,CUST000177,RM0232,Billing Error,5.0,Quick
CMP000279,CUST000519,RM0047,Technical Issue,3.0,Quick
CMP000280,CUST001350,RM0121,Technical Issue,5.0,Quick
CMP000281,CUST002483,RM0080,Delay,11.0,Normal
CMP000282,CUST002232,RM0239,Staff Behavior,14.0,Normal
CMP000283,CUST001336,RM0006,Credit Card Issue,4.0,Quick
CMP000284,CUST001707,RM0147,Staff Behavior,10.0,Normal
CMP000285,CUST000353,RM0155,Loan Disbursement,3.0,Quick
CMP000286,CUST001991,RM0247,Credit Card Issue,2.0,Quick
CMP000287,CUST002479,RM0119,Billing Error,11.0,Normal
CMP000288,CUST000235,RM0146,Service Issue,2.0,Quick
CMP000289,CUST000974,RM0021,Account Access,2.0,Quick
CMP000290,CUST002307,RM0017,Loan Disbursement,4.0,Quick
CMP000291,CUST000283,RM0098,Product Issue,4.0,Quick
CMP000292,CUST000943,RM0228,Credit Card Issue,2.0,Quick
CMP000293,CUST001835,RM0044,Delay,10.0,Normal
CMP000294,CUST001130,RM0044,Account Access,4.0,Quick
CMP000295,CUST002397,RM0047,Delay,5.0,Quick
CMP000296,CUST001002,RM0238,Billing Error,3.0,Quick
CMP000297,CUST000548,RM0041,Staff Behavior,5.0,Quick
CMP000298,CUST001403,RM0166,Service Issue,9.0,Normal
CMP000299,CUST000784,RM0131,Technical Issue,13.0,Normal
CMP000300,CUST002488,RM0247,Insurance Claim,19.0,Normal
CMP000301,CUST001915,RM0074,Billing Error,4.0,Quick
CMP000302,CUST001717,RM0093,Service Issue,5.0,Quick
CMP000303,CUST002445,RM0245,Billing Error,25.0,Normal
CMP000304,CUST001546,RM0202,Technical Issue,3.0,Quick
CMP000305,CUST001760,RM0057,Account Access,2.0,Quick
CMP000306,CUST000873,RM0115,Billing Error,5.0,Quick
CMP000307,CUST001976,RM0007,Service Issue,9.0,Normal
CMP000308,CUST002455,RM0141,Loan Disbursement,2.0,Quick
CMP000309,CUST001018,RM0108,Delay,2.0,Quick
CMP000310,CUST002280,RM0112,Insurance Claim,14.0,Normal
CMP000311,CUST002090,RM0132,Account Access,9.0,Normal
CMP000312,CUST002287,RM0174,Staff Behavior,2.0,Quick
CMP000313,CUST000207,RM0053,Credit Card Issue,9.0,Normal
CMP000314,CUST002035,RM0055,Technical Issue,11.0,Normal
CMP000315,CUST000783,RM0192,Delay,13.0,Normal
CMP000316,CUST001934,RM0003,Account Access,5.0,Quick
CMP000317,CUST000425,RM0197,Staff Behavior,8.0,Normal
CMP000318,CUST000749,RM0041,Delay,9.0,Normal
CMP000319,CUST000392,RM0108,Product Issue,7.0,Quick
CMP000320,CUST000033,RM0183,Account Access,7.0,Quick
CMP000321,CUST001458,RM0180,Insurance Claim,5.0,Quick
CMP000322,CUST000641,RM0051,Service Issue,5.0,Quick
CMP000323,CUST002098,RM0127,Product Issue,29.0,Normal
CMP000324,CUST002131,RM0018,Service Issue,4.0,Quick
CMP000325,CUST001545,RM0079,Account Access,2.0,Quick
CMP000326,CUST001719,RM0232,Loan Disbursement,9.0,Normal
CMP000327,CUST002213,RM0071,Account Access,3.0,Quick
CMP000328,CUST002168,RM0129,Delay,5.0,Quick
CMP000329,CUST000431,RM0167,Service Issue,2.0,Quick
CMP000330,CUST000630,RM0094,Billing Error,6.0,Quick
CMP000331,CUST001025,RM0152,Delay,16.0,Normal
CMP000332,CUST000985,RM0071,Insurance Claim,8.0,Normal
CMP000333,CUST000697,RM0194,Delay,3.0,Quick
CMP000334,CUST001314,RM0168,Delay,19.0,Normal
CMP000335,CUST001083,RM0022,Billing Error,3.0,Quick
CMP000336,CUST000792,RM0193,Product Issue,4.0,Quick
CMP000337,CUST000123,RM0173,Technical Issue,5.0,Quick
CMP000338,CUST001202,RM0165,Staff Behavior,25.0,Normal
CMP000339,CUST001331,RM0187,Product Issue,2.0,Quick
CMP000340,CUST001460,RM0063,Delay,7.0,Quick
CMP000341,CUST000909,RM0199,Delay,5.0,Quick
CMP000342,CUST001663,RM0048,Credit Card Issue,4.0,Quick
CMP000343,CUST000626,RM0182,Service Issue,2.0,Quick
CMP000344,CUST001117,RM0074,Staff Behavior,15.0,Normal
CMP000345,CUST000232,RM0222,Delay,6.0,Quick
CMP000346,CUST000650,RM0144,Service Issue,9.0,Normal
CMP000347,CUST001683,RM0190,Delay,3.0,Quick
CMP000348,CUST002331,RM0235,Staff Behavior,9.0,Normal
CMP000349,CUST001428,RM0026,Billing Error,10.0,Normal
CMP000350,CUST000509,RM0191,Delay,4.0,Quick
CMP000351,CUST002334,RM0046,Product Issue,6.0,Quick
CMP000352,CUST000691,RM0172,Service Issue,19.0,Normal
CMP000353,CUST002379,RM0180,Account Access,11.0,Normal
CMP000354,CUST002370,RM0054,Service Issue,4.0,Quick
CMP000355,CUST000457,RM0132,Technical Issue,7.0,Quick
CMP000356,CUST001935,RM0095,Credit Card Issue,6.0,Quick
CMP000357,CUST000311,RM0230,Service Issue,9.0,Normal
CMP000358,CUST001216,RM0058,Credit Card Issue,2.0,Quick
CMP000359,CUST000961,RM0028,Service Issue,6.0,Quick
CMP000360,CUST002239,RM0117,Service Issue,22.0,Normal
CMP000361,CUST002442,RM0141,Loan Disbursement,16.0,Normal
CMP000362,CUST001307,RM0074,Service Issue,10.0,Normal
CMP000363,CUST001197,RM0213,Insurance Claim,2.0,Quick
CMP000364,CUST001421,RM0203,Service Issue,27.0,Normal
CMP000365,CUST001039,RM0093,Service Issue,6.0,Quick
CMP000366,CUST000411,RM0065,Staff Behavior,3.0,Quick
CMP000367,CUST000447,RM0126,Credit Card Issue,7.0,Quick
CMP000368,CUST001621,RM0177,Insurance Claim,11.0,Normal
CMP000369,CUST000747,RM0089,Account Access,2.0,Quick
CMP000370,CUST001455,RM0229,Account Access,14.0,Normal
CMP000371,CUST000899,RM0134,Insurance Claim,14.0,Normal
CMP000372,CUST001527,RM0229,Loan Disbursement,2.0,Quick
CMP000373,CUST002379,RM0023,Product Issue,13.0,Normal
CMP000374,CUST002472,RM0174,Product Issue,16.0,Normal
CMP000375,CUST000532,RM0113,Credit Card Issue,2.0,Quick
CMP000376,CUST000590,RM0130,Credit Card Issue,3.0,Quick
CMP000377,CUST000222,RM0082,Technical Issue,5.0,Quick
CMP000378,CUST001018,RM0096,Product Issue,4.0,Quick
CMP000379,CUST000135,RM0158,Service Issue,4.0,Quick
CMP000380,CUST001537,RM0237,Account Access,9.0,Normal
CMP000381,CUST002472,RM0024,Technical Issue,4.0,Quick
CMP000382,CUST000164,RM0223,Credit Card Issue,17.0,Normal
CMP000383,CUST002318,RM0225,Billing Error,28.0,Normal
CMP000384,CUST000123,RM0171,Staff Behavior,3.0,Quick
CMP000385,CUST001960,RM0011,Insurance Claim,5.0,Quick
CMP000386,CUST001931,RM0030,Service Issue,6.0,Quick
CMP000387,CUST001322,RM0117,Credit Card Issue,6.0,Quick
CMP000388,CUST001781,RM0192,Delay,6.0,Quick
CMP000389,CUST002105,RM0029,Account Access,4.0,Quick
CMP000390,CUST002343,RM0091,Insurance Claim,2.0,Quick
CMP000391,CUST000363,RM0107,Product Issue,2.0,Quick
CMP000392,CUST001082,RM0127,Insurance Claim,2.0,Quick
CMP000393,CUST002037,RM0062,Account Access,13.0,Normal
CMP000394,CUST001517,RM0024,Insurance Claim,3.0,Quick
CMP000395,CUST000621,RM0242,Loan Disbursement,2.0,Quick
CMP000396,CUST001364,RM0224,Account Access,6.0,Quick
CMP000397,CUST001251,RM0082,Service Issue,2.0,Quick
CMP000398,CUST001732,RM0177,Service Issue,2.0,Quick
CMP000399,CUST000262,RM0067,Loan Disbursement,6.0,Quick
CMP000400,CUST000792,RM0139,Loan Disbursement,6.0,Quick
CMP000401,CUST000408,RM0007,Delay,2.0,Quick
CMP000402,CUST001091,RM0108,Technical Issue,5.0,Quick
CMP000403,CUST000936,RM0162,Billing Error,4.0,Quick
CMP000404,CUST001628,RM0066,Billing Error,5.0,Quick
CMP000405,CUST001256,RM0003,Product Issue,8.0,Normal
CMP000406,CUST001323,RM0016,Loan Disbursement,3.0,Quick
CMP000407,CUST002212,RM0070,Loan Disbursement,4.0,Quick
CMP000408,CUST000584,RM0237,Delay,9.0,Normal
CMP000409,CUST000277,RM0076,Billing Error,14.0,Normal
CMP000410,CUST000782,RM0099,Service Issue,13.0,Normal
CMP000411,CUST000164,RM0148,Service Issue,5.0,Quick
CMP000412,CUST000501,RM0196,Billing Error,5.0,Quick
CMP000413,CUST000327,RM0078,Technical Issue,5.0,Quick
CMP000414,CUST002083,RM0233,Account Access,12.0,Normal
CMP000415,CUST000333,RM0120,Delay,11.0,Normal
CMP000416,CUST001091,RM0017,Billing Error,3.0,Quick
CMP000417,CUST000927,RM0121,Staff Behavior,2.0,Quick
CMP000418,CUST002359,RM0243,Delay,4.0,Quick
CMP000419,CUST001522,RM0021,Delay,3.0,Quick
CMP000420,CUST000253,RM0008,Billing Error,17.0,Normal
CMP000421,CUST000041,RM0249,Technical Issue,3.0,Quick
CMP000422,CUST002268,RM0187,Insurance Claim,2.0,Quick
CMP000423,CUST002150,RM0137,Product Issue,13.0,Normal
CMP000424,CUST001163,RM0023,Loan Disbursement,2.0,Quick
CMP000425,CUST000738,RM0068,Account Access,3.0,Quick
CMP000426,CUST001166,RM0161,Billing Error,4.0,Quick
CMP000427,CUST001825,RM0210,Delay,6.0,Quick
CMP000428,CUST002021,RM0189,Insurance Claim,3.0,Quick
CMP000429,CUST001733,RM0209,Credit Card Issue,5.0,Quick
CMP000430,CUST000498,RM0094,Product Issue,3.0,Quick
CMP000431,CUST001126,RM0245,Service Issue,6.0,Quick
CMP000432,CUST001680,RM0038,Billing Error,4.0,Quick
CMP000433,CUST002041,RM0175,Account Access,11.0,Normal
CMP000434,CUST002289,RM0230,Credit Card Issue,4.0,Quick
CMP000435,CUST000170,RM0218,Technical Issue,4.0,Quick
CMP000436,CUST002201,RM0008,Service Issue,6.0,Quick
CMP000437,CUST002195,RM0073,Staff Behavior,2.0,Quick
CMP000438,CUST001459,RM0155,Insurance Claim,2.0,Quick
