Loan_ID,Customer_ID,RM_ID,Loan_Type,Loan_Amount,Loan_Status
LN0000143,CUST000956,RM0164,Personal Loan,598289,Approved
LN0000144,CUST001849,RM0194,Plot Loan,536556,Active
LN0000145,CUST001151,RM0220,Education Loan,96979,Closed
LN0000146,CUST002218,RM0089,Personal Loan,58043,Pending
LN0000147,CUST002391,RM0093,Education Loan,320423,Active
LN0000148,CUST000210,RM0148,Car Loan,401599,Defaulted
LN0000149,CUST001890,RM0145,Business Loan,737559,Approved
LN0000150,CUST000102,RM0149,Plot Loan,999999999,Pending
LN0000151,CUST001658,RM0186,Gold Loan,491157,Pending
LN0000152,CUST002128,RM0105,Plot Loan,233525,Pending
LN0000153,CUST001799,RM0120,Plot Loan,201026,Pending
LN0000154,CUST001919,RM0226,Gold Loan,55647,Active
LN0000155,CUST000977,RM0032,Gold Loan,106646,Pending
LN0000156,CUST000688,RM0042,Home Loan,173094,Closed
LN0000157,CUST000942,RM0098,Plot Loan,427789,Pending
LN0000158,CUST001060,RM0175,Personal Loan,248043,Pending
LN0000159,CUST001605,RM0036,Personal Loan,212950,Active
LN0000160,CUST000660,RM0241,Car Loan,321452,Pending
LN0000161,CUST001396,RM0030,Business Loan,115636,Defaulted
LN0000162,CUST001434,RM0232,Education Loan,216460,Defaulted
LN0000163,CUST001496,RM0008,Business Loan,68454,Pending
LN0000164,CUST000113,RM0011,Home Loan,156772,Active
LN0000165,CUST000141,RM0024,Education Loan,327387,Closed
LN0000166,CUST002363,RM0139,Personal Loan,286442,Approved
LN0000167,CUST000313,RM0041,Personal Loan,984320,Active
LN0000168,CUST002366,RM0077,Personal Loan,115115,Approved
LN0000169,CUST000158,RM0145,Education Loan,187906,Rejected
LN0000170,CUST000087,RM0041,Home Loan,129955,Pending
LN0000171,CUST001502,RM0018,Gold Loan,166179,Active
LN0000172,CUST001103,RM0034,Plot Loan,438912,Closed
LN0000173,CUST002340,RM0071,Education Loan,280534,Approved
LN0000174,CUST001400,RM0139,Business Loan,478163,Approved
LN0000175,CUST000581,RM0177,Home Loan,95508,Active
LN0000176,CUST001375,RM0153,Car Loan,463283,Approved
LN0000177,CUST000409,RM0118,Education Loan,999999999,Pending
LN0000178,CUST000114,RM0090,Business Loan,62324,Rejected
LN0000179,CUST000518,RM0181,Plot Loan,488924,Rejected
LN0000180,CUST001953,RM0130,Gold Loan,129819,Defaulted
LN0000181,CUST000317,RM0055,Business Loan,125546,Active
LN0000182,CUST001912,RM0240,Plot Loan,193524,Closed
LN0000183,CUST001916,RM0150,Home Loan,614996,Approved
LN0000184,CUST000288,RM0168,Education Loan,59792,Closed
LN0000185,CUST001779,RM0119,Personal Loan,136844,Closed
LN0000186,CUST001404,RM0160,Plot Loan,438384,Pending
LN0000187,CUST001664,RM0218,Gold Loan,150854,Closed
LN0000188,CUST002341,RM0200,Home Loan,94418,Closed
LN0000189,CUST002381,RM0247,Car Loan,160605,Approved
LN0000190,CUST001452,RM0123,Education Loan,147406,Rejected
LN0000191,CUST000516,RM0153,Business Loan,544002,Approved
LN0000192,CUST001100,RM0162,Personal Loan,337041,Active
LN0000193,CUST000466,RM0048,Car Loan,190686,Defaulted
LN0000194,CUST000053,RM0163,Plot Loan,940843,Defaulted
LN0000195,CUST001118,RM0079,Plot Loan,175201,Rejected
LN0000196,CUST001710,RM0234,Home Loan,62000,Closed
LN0000197,CUST000082,RM0043,Education Loan,110836,Closed
LN0000198,CUST000044,RM0062,Business Loan,164565,Rejected
LN0000199,CUST001232,RM0105,Personal Loan,84134,Pending
LN0000200,CUST001331,RM0169,Gold Loan,639636,Pending
LN0000201,CUST002453,RM0181,Car Loan,341213,Defaulted
LN0000202,CUST000921,RM0079,Home Loan,112473,Closed
LN0000203,CUST002417,RM0203,Business Loan,228712,Defaulted
LN0000204,CUST001017,RM0212,Education Loan,305630,Defaulted
LN0000205,CUST000853,RM0230,Personal Loan,616991,Pending
LN0000206,CUST000089,RM0138,Home Loan,476797,Defaulted
LN0000207,CUST000651,RM0103,Home Loan,194800,Pending
LN0000208,CUST001498,RM0084,Car Loan,348022,Rejected
LN0000209,CUST000623,RM0166,Education Loan,215173,Active
LN0000210,CUST000641,RM0096,Plot Loan,210906,Pending
LN0000211,CUST000309,RM0217,Car Loan,74375,Defaulted
LN0000212,CUST000915,RM0080,Home Loan,76966,Pending
LN0000213,CUST002037,RM0081,Education Loan,200806,Closed
LN0000214,CUST002110,RM0034,Education Loan,112630,Active
LN0000215,CUST000550,RM0020,Gold Loan,54252,Defaulted
LN0000216,CUST000004,RM0241,Car Loan,306631,Rejected
LN0000217,CUST001469,RM0108,Personal Loan,56605,Rejected
LN0000218,CUST000099,RM0130,Home Loan,230910,Defaulted
LN0000219,CUST001711,RM0218,Plot Loan,204955,Approved
LN0000220,CUST002204,RM0010,Home Loan,743561,Closed
LN0000221,CUST000467,RM0131,Business Loan,182412,Defaulted
LN0000222,CUST002441,RM0094,Car Loan,63142,Approved
LN0000223,CUST000657,RM0046,Gold Loan,210453,Active
LN0000224,CUST002270,RM0172,Personal Loan,417891,Defaulted
LN0000225,CUST000073,RM0058,Personal Loan,1202025,Active
LN0000226,CUST002473,RM0227,Business Loan,162544,Rejected
LN0000227,CUST001164,RM0053,Education Loan,127220,Active
LN0000228,CUST001553,RM0186,Car Loan,524286,Active
LN0000229,CUST001247,RM0012,Education Loan,92451,Defaulted
LN0000230,CUST000367,RM0235,Personal Loan,241125,Active
LN0000231,CUST002308,RM0214,Personal Loan,154079,Pending
LN0000232,CUST001975,RM0005,Business Loan,58390,Approved
LN0000233,CUST001703,RM0073,Business Loan,135324,Defaulted
LN0000234,CUST000568,RM0245,Business Loan,111639,Defaulted
LN0000235,CUST000129,RM0191,Business Loan,281730,Approved
LN0000236,CUST001645,RM0061,Home Loan,644366,Active
LN0000237,CUST001156,RM0057,Car Loan,112407,Closed
LN0000238,CUST001259,RM0058,Car Loan,383695,Approved
LN0000239,CUST001691,RM0070,Education Loan,61390,Defaulted
LN0000240,CUST002481,RM0041,Gold Loan,204490,Active
LN0000241,CUST001024,RM0080,Personal Loan,64632,Pending
LN0000242,CUST000419,RM0021,Plot Loan,593720,Approved
LN0000243,CUST000680,RM0130,Education Loan,340787,Rejected
LN0000244,CUST000471,RM0056,Plot Loan,264559,Rejected
LN0000245,CUST002391,RM0205,Education Loan,397336,Approved
LN0000246,CUST001155,RM0040,Business Loan,707889,Approved
LN0000247,CUST001610,RM0019,Car Loan,258552,Closed
LN0000248,CUST000451,RM0009,Business Loan,744395,Defaulted
LN0000249,CUST002476,RM0172,Car Loan,300323,Active
LN0000250,CUST002326,RM0032,Business Loan,567145,Defaulted
LN0000251,CUST001550,RM0174,Education Loan,195602,Rejected
LN0000252,CUST001186,RM0012,Plot Loan,74900,Active
LN0000253,CUST002304,RM0080,Personal Loan,999999999,Rejected
LN0000254,CUST002406,RM0080,Home Loan,200230,Defaulted
LN0000255,CUST001583,RM0076,Home Loan,77134,Active
LN0000256,CUST001449,RM0100,Personal Loan,229539,Rejected
LN0000257,CUST002457,RM0014,Plot Loan,181746,Pending
LN0000258,CUST002379,RM0249,Personal Loan,244876,Rejected
LN0000259,CUST001184,RM0209,Plot Loan,52019,Closed
LN0000260,CUST001847,RM0241,Education Loan,93342,Pending
LN0000261,CUST000149,RM0137,Plot Loan,185191,Defaulted
LN0000262,CUST000154,RM0074,Education Loan,999999999,Defaulted
LN0000263,CUST001551,RM0163,Car Loan,651170,Pending
LN0000264,CUST001411,RM0104,Education Loan,146774,Active
LN0000265,CUST001821,RM0245,Business Loan,160458,Approved
LN0000266,CUST000828,RM0240,Home Loan,300840,Approved
LN0000267,CUST001734,RM0010,Car Loan,235163,Active
LN0000268,CUST001461,RM0152,Gold Loan,121028,Defaulted
LN0000269,CUST001668,RM0237,Home Loan,155803,Rejected
LN0000270,CUST002252,RM0060,Plot Loan,99103,Approved
LN0000271,CUST002399,RM0099,Education Loan,726405,Rejected
LN0000272,CUST001870,RM0117,Education Loan,77998,Closed
LN0000273,CUST002029,RM0039,Business Loan,142991,Approved
LN0000274,CUST001350,RM0063,Plot Loan,55235,Pending
LN0000275,CUST001069,RM0237,Home Loan,100149,Pending
LN0000276,CUST001600,RM0009,Home Loan,353254,Closed
LN0000277,CUST001895,RM0031,Home Loan,94922,Approved
LN0000278,CUST000770,RM0095,Plot Loan,66690,Rejected
LN0000279,CUST000064,RM0076,Education Loan,178663,Closed
LN0000280,CUST002455,RM0065,Home Loan,52003,Pending
LN0000281,CUST002389,RM0093,Home Loan,67715,Approved
LN0000282,CUST001596,RM0002,Plot Loan,379662,Rejected
LN0000283,CUST001339,RM0107,Car Loan,345220,Rejected
LN0000284,CUST002107,RM0243,Gold Loan,543347,Closed
LN0000285,CUST000792,RM0078,Home Loan,435537,Rejected
LN0000286,CUST002297,RM0123,Home Loan,279881,Defaulted
LN0000287,CUST002023,RM0242,Education Loan,60750,Defaulted
LN0000288,CUST001717,RM0036,Business Loan,355432,Closed
LN0000289,CUST001310,RM0021,Home Loan,423526,Active
LN0000290,CUST000915,RM0040,Gold Loan,370971,Closed
LN0000291,CUST000776,RM0161,Education Loan,192050,Closed
LN0000292,CUST002366,RM0183,Car Loan,103028,Approved
LN0000293,CUST001648,RM0234,Education Loan,423292,Approved
LN0000294,CUST002326,RM0221,Business Loan,309776,Defaulted
LN0000295,CUST002131,RM0247,Plot Loan,840164,Approved
LN0000296,CUST000463,RM0227,Personal Loan,83847,Defaulted
LN0000297,CUST001109,RM0007,Car Loan,101150,Defaulted
LN0000298,CUST000229,RM0233,Business Loan,97600,Approved
LN0000299,CUST001460,RM0177,Education Loan,364563,Pending
LN0000300,CUST001690,RM0186,Gold Loan,91382,Defaulted
LN0000301,CUST000297,RM0002,Business Loan,63797,Pending
LN0000302,CUST000932,RM0249,Car Loan,1358734,Approved
LN0000303,CUST001419,RM0247,Car Loan,55026,Active
LN0000304,CUST000888,RM0247,Education Loan,410658,Defaulted
LN0000305,CUST001897,RM0027,Gold Loan,140941,Closed
LN0000306,CUST000060,RM0093,Business Loan,418545,Approved
LN0000307,CUST001036,RM0144,Plot Loan,211765,Active
LN0000308,CUST001790,RM0184,Education Loan,513806,Pending
LN0000309,CUST001191,RM0039,Gold Loan,571260,Active
LN0000310,CUST000565,RM0065,Personal Loan,51827,Rejected
LN0000311,CUST000858,RM0084,Car Loan,65681,Rejected
LN0000312,CUST000076,RM0227,Gold Loan,107632,Defaulted
LN0000313,CUST000528,RM0045,Home Loan,271318,Closed
LN0000314,CUST001320,RM0149,Business Loan,488337,Rejected
LN0000315,CUST000584,RM0164,Personal Loan,173215,Pending
LN0000316,CUST000580,RM0144,Gold Loan,236775,Active
LN0000317,CUST001747,RM0215,Personal Loan,91774,Active
LN0000318,CUST001141,RM0017,Car Loan,376917,Active
LN0000319,CUST002000,RM0075,Gold Loan,734248,Rejected
LN0000320,CUST001668,RM0149,Home Loan,112558,Defaulted
LN0000321,CUST001470,RM0228,Education Loan,186570,Rejected
LN0000322,CUST000800,RM0215,Personal Loan,68010,Closed
LN0000323,CUST002264,RM0084,Gold Loan,213804,Defaulted
LN0000324,CUST001111,RM0245,Education Loan,189745,Defaulted
LN0000325,CUST000813,RM0012,Plot Loan,81198,Defaulted
LN0000326,CUST001784,RM0119,Education Loan,166702,Active
LN0000327,CUST001132,RM0005,Car Loan,131324,Approved
LN0000328,CUST002079,RM0032,Education Loan,197558,Defaulted
LN0000329,CUST000538,RM0229,Gold Loan,226210,Rejected
LN0000330,CUST002443,RM0012,Education Loan,51706,Pending
LN0000331,CUST000362,RM0049,Personal Loan,336263,Rejected
LN0000332,CUST001358,RM0249,Plot Loan,299664,Active
LN0000333,CUST000003,RM0229,Home Loan,141231,Active
LN0000334,CUST000688,RM0199,Plot Loan,60877,Active
LN0000335,CUST000802,RM0111,Gold Loan,331244,Approved
LN0000336,CUST000931,RM0129,Home Loan,670998,Rejected
LN0000337,CUST002344,RM0164,Personal Loan,104927,Rejected
LN0000338,CUST001345,RM0240,Personal Loan,128171,Pending
LN0000339,CUST002127,RM0226,Business Loan,90622,Approved
LN0000340,CUST000430,RM0197,Education Loan,222046,Active
LN0000341,CUST002329,RM0174,Business Loan,932112,Rejected
LN0000342,CUST001218,RM0081,Plot Loan,83646,Defaulted
LN0000343,CUST000178,RM0149,Education Loan,138071,Defaulted
LN0000344,CUST000952,RM0116,Education Loan,288813,Rejected
LN0000345,CUST001397,RM0236,Gold Loan,214248,Approved
LN0000346,CUST001893,RM0181,Plot Loan,147702,Approved
LN0000347,CUST002036,RM0171,Business Loan,159031,Closed
LN0000348,CUST000160,RM0245,Gold Loan,215157,Rejected
LN0000349,CUST001908,RM0025,Car Loan,51176,Rejected
LN0000350,CUST002015,RM0056,Gold Loan,66352,Defaulted
LN0000351,CUST000968,RM0105,Business Loan,476160,Active
LN0000352,CUST000919,RM0247,Car Loan,66215,Pending
LN0000353,CUST001356,RM0073,Home Loan,295382,Closed
LN0000354,CUST001975,RM0075,Business Loan,555241,Defaulted
LN0000355,CUST001412,RM0011,Home Loan,113129,Active
LN0000356,CUST001267,RM0239,Plot Loan,142563,Closed
LN0000357,CUST002309,RM0170,Gold Loan,218292,Active
LN0000358,CUST001331,RM0034,Plot Loan,476921,Approved
LN0000359,CUST000109,RM0076,Gold Loan,619137,Pending
LN0000360,CUST001515,RM0241,Education Loan,319079,Defaulted
LN0000361,CUST002047,RM0197,Plot Loan,68120,Rejected
LN0000362,CUST001680,RM0050,Plot Loan,271220,Active
LN0000363,CUST001001,RM0097,Education Loan,155629,Approved
LN0000364,CUST001115,RM0048,Car Loan,177240,Pending
LN0000365,CUST002481,RM0139,Plot Loan,60079,Defaulted
LN0000366,CUST000708,RM0234,Business Loan,92406,Pending
LN0000367,CUST000671,RM0098,Gold Loan,362619,Rejected
LN0000368,CUST002410,RM0219,Education Loan,171012,Approved
LN0000369,CUST000011,RM0058,Home Loan,50000,Approved
LN0000370,CUST000596,RM0168,Plot Loan,121810,Defaulted
LN0000371,CUST001328,RM0139,Business Loan,146907,Active
LN0000372,CUST000618,RM0170,Home Loan,435377,Closed
LN0000373,CUST002364,RM0231,Business Loan,326459,Closed
LN0000374,CUST001109,RM0004,Home Loan,113577,Defaulted
LN0000375,CUST001053,RM0088,Education Loan,74999,Pending
LN0000376,CUST002197,RM0114,Education Loan,999999999,Active
LN0000377,CUST000354,RM0158,Personal Loan,108069,Closed
LN0000378,CUST000252,RM0035,Gold Loan,557045,Rejected
LN0000379,CUST001547,RM0113,Gold Loan,999999999,Pending
LN0000380,CUST001198,RM0184,Home Loan,224258,Rejected
LN0000381,CUST001252,RM0249,Personal Loan,202490,Approved
LN0000382,CUST000505,RM0195,Car Loan,231463,Defaulted
LN0000383,CUST001107,RM0103,Business Loan,141150,Defaulted
LN0000384,CUST002140,RM0239,Plot Loan,379123,Pending
LN0000385,CUST000421,RM0011,Home Loan,198167,Defaulted
LN0000386,CUST000927,RM0250,Education Loan,74828,Closed
LN0000387,CUST001203,RM0172,Plot Loan,77637,Active
LN0000388,CUST001921,RM0006,Gold Loan,203944,Defaulted
LN0000389,CUST001478,RM0074,Gold Loan,601564,Rejected
LN0000390,CUST000135,RM0173,Business Loan,123735,Pending
LN0000391,CUST001888,RM0168,Plot Loan,457339,Defaulted
LN0000392,CUST001849,RM0066,Gold Loan,338865,Approved
LN0000393,CUST001057,RM0043,Car Loan,106953,Closed
LN0000394,CUST000162,RM0202,Personal Loan,57403,Approved
LN0000395,CUST001820,RM0204,Gold Loan,71483,Pending
LN0000396,CUST001544,RM0002,Home Loan,310754,Pending
LN0000397,CUST000191,RM0134,Home Loan,94546,Approved
LN0000398,CUST002112,RM0046,Personal Loan,142810,Active
LN0000399,CUST001820,RM0085,Plot Loan,466357,Closed
LN0000400,CUST002422,RM0231,Gold Loan,189310,Rejected
LN0000401,CUST002189,RM0174,Gold Loan,308537,Closed
LN0000402,CUST000313,RM0212,Home Loan,74034,Pending
LN0000403,CUST000814,RM0178,Home Loan,154298,Closed
LN0000404,CUST001715,RM0089,Personal Loan,182745,Active
LN0000405,CUST001215,RM0042,Education Loan,205665,Approved
LN0000406,CUST002498,RM0017,Gold Loan,391146,Rejected
LN0000407,CUST001831,RM0002,Home Loan,87670,Approved
LN0000408,CUST001944,RM0226,Personal Loan,379876,Approved
LN0000409,CUST000783,RM0205,Education Loan,286102,Pending
LN0000410,CUST002063,RM0159,Education Loan,212327,Defaulted
LN0000411,CUST001057,RM0195,Home Loan,290480,Closed
LN0000412,CUST002381,RM0055,Personal Loan,156211,Approved
LN0000413,CUST001859,RM0017,Personal Loan,79792,Active
LN0000414,CUST001142,RM0136,Education Loan,269182,Rejected
LN0000415,CUST000487,RM0018,Personal Loan,198750,Rejected
LN0000416,CUST000255,RM0208,Car Loan,253983,Defaulted
LN0000417,CUST000419,RM0034,Personal Loan,132497,Closed
LN0000418,CUST000722,RM0234,Business Loan,524744,Rejected
LN0000419,CUST001222,RM0224,Plot Loan,227040,Rejected
LN0000420,CUST002227,RM0126,Business Loan,67854,Active
LN0000421,CUST001705,RM0179,Car Loan,169496,Pending
LN0000422,CUST001774,RM0214,Home Loan,332409,Approved
LN0000423,CUST000721,RM0020,Business Loan,366106,Approved
LN0000424,CUST001558,RM0214,Gold Loan,186479,Defaulted
LN0000425,CUST002055,RM0178,Home Loan,500278,Active
LN0000426,CUST000903,RM0043,Education Loan,112304,Rejected
LN0000427,CUST000687,RM0041,Education Loan,155729,Defaulted
LN0000428,CUST001813,RM0192,Business Loan,507730,Defaulted
LN0000429,CUST000590,RM0190,Home Loan,503167,Pending
LN0000430,CUST000928,RM0113,Car Loan,281489,Approved
LN0000431,CUST000909,RM0163,Gold Loan,441771,Pending
LN0000432,CUST001742,RM0245,Education Loan,68592,Rejected
LN0000433,CUST000230,RM0055,Personal Loan,450488,Closed
LN0000434,CUST000904,RM0172,Plot Loan,127314,Active
LN0000435,CUST000669,RM0011,Car Loan,89283,Pending
LN0000436,CUST000914,RM0204,Home Loan,104721,Active
LN0000437,CUST002286,RM0245,Plot Loan,158246,Pending
LN0000438,CUST001886,RM0101,Business Loan,107854,Active
LN0000439,CUST001141,RM0238,Gold Loan,127299,Closed
LN0000440,CUST000289,RM0042,Education Loan,79000,Pending
LN0000441,CUST001072,RM0109,Car Loan,120245,Approved
LN0000442,CUST001143,RM0108,Plot Loan,219859,Defaulted
LN0000443,CUST000349,RM0184,Business Loan,166626,Closed
LN0000444,CUST002067,RM0222,Car Loan,135149,Approved
LN0000445,CUST002246,RM0020,Car Loan,324440,Closed
LN0000446,CUST000810,RM0118,Education Loan,112188,Defaulted
LN0000447,CUST001499,RM0169,Gold Loan,497940,Defaulted
LN0000448,CUST001396,RM0157,Car Loan,332765,Rejected
LN0000449,CUST001585,RM0182,Car Loan,130693,Defaulted
LN0000450,CUST002291,RM0089,Plot Loan,322861,Defaulted
LN0000451,CUST000253,RM0229,Personal Loan,82970,Active
